Ind,Pri,Cmp,GLON,GLAT,Vmag,f_Vmag,SpType,pml,pmb,dpml,e_dpml,dpmb,e_dpmb,Dis,e_Dis,Rvel,dRVel,e_dRVel,Mass,dR,Prob,ra_y,ra_error_y,dec_y,dec_error_y,l_y,b_y,phot_g_mean_mag_y,bp_rp_y,bp_g_y,g_rp_y,teff_val_y,pmra_y,pmra_error_y,pmdec_y,pmdec_error_y,radial_velocity_y,radial_velocity_error_y,distance_y,distance_error_y,del_pmra,del_pmra_error,del_pmdec,del_pmdec_error,angular_sep_1,angular_sep_2,proy_sep,proy_sep_2,rel_vel,rel_vel_err
681,76797,77443,338.2,13.9,9.96,, G6V;UnK,-122.9,-10.7,3.8,1.9,-1.1,2.1,99.9,19.5,,,,0.88,3.0587,0.19,237.1505723092,0.0379464017,-36.5518855697,0.0204737746,338.2333369795,13.8981094901,9.793992,0.8913164,0.38135815,0.50995827,5608,-85.5302536679,0.0860387023,-87.3063310886,0.0532348449,-30.8401979549,0.2117060506,114.5841996699,0.5938678456,-0.1421685001,0.1955833046,4.0741159652,0.1168960971,1.9400216157,1.9400216157,6.3229876502,6.3229876502,4.654070101,0.5274476072
682,76875,76875,338.2,16,8.37,340, F2V;UnK,-34.7,-7.5,,,,,90.6,9.2,-1.9,,,1.3,,,235.4716290707,0.0430470104,-34.8889891347,0.0262765395,338.2323073241,16.0481948085,8.278296,0.538856,0.21451855,0.32433748,6778.21,-21.7879230902,0.1069500097,-29.5073592607,0.0720375503,3.5227387538,1.0194976675,111.0259285017,0.6440661626,0,0.2139000193,0,0.1440751005,0,0,1.16984824733612E-06,0,0,
682,76875,77015,335.9,12.7,9.66,, G3V;UnK,-36.3,-13.4,1.6,2,5.3,1.9,90.6,12.4,-0.7,-0.4,1.8,0.92,6.4572,1,235.8743275152,0.0383978939,-38.9608644574,0.0231619769,335.8667654887,12.6667967048,9.534371,0.75929165,0.3152666,0.44402504,5794.3335,-19.017097574,0.0897080491,-33.8841393326,0.0675570646,-29.6669991891,0.3990731234,134.5922569481,0.8823749297,-2.7708255162,0.1966580588,4.3767800719,0.1395946149,4.084567007,4.084567007,25.125351647,25.125351647,6.1301184543,0.1535721568
682,76875,77331,340.6,17.1,10.32,, -;UnK,-46.3,-9.4,11.7,2.2,2.4,2.2,85.3,40.6,,,,0.86,4.0092,0.59,236.8184354704,0.0650732078,-32.6135482546,0.0374018707,340.6447075183,17.0898524029,10.134834,0.85364723,0.3583355,0.49531174,5640.45,-33.852563538,0.1352605523,-39.7516619357,0.1049097654,-37.6197716871,0.5590648467,107.6323873302,0.791480841,12.0646404478,0.2422105619,10.2443026749,0.1769473157,2.535982399,2.535982399,5.9095693923,5.9095693923,7.5082161203,0.1465346042
683,76997,76997,338.2,15.6,8.52,370, F5V;UnK,-50.6,-15.6,,,,,84.9,7,,,,1.16,,,235.8214700182,0.0417993243,-35.2435426295,0.0213523992,338.2322768932,15.5924553862,8.398264,0.6157017,0.25034523,0.36535645,6411.71,-31.7144419384,0.1070547637,-46.3192580575,0.0608477489,2.3487565268,0.3486198306,91.5019961209,0.4254234981,0,0.2141095275,0,0.1216954979,0,0,0,0,0,
683,76997,77331,340.6,17.1,10.32,, -;UnK,-46.3,-9.4,-3.6,2.6,-5,2.4,85.3,40.6,,,,0.86,4.0848,0.33,236.8184354704,0.0650732078,-32.6135482546,0.0374018707,340.6447075183,17.0898524029,10.134834,0.85364723,0.3583355,0.49531174,5640.45,-33.852563538,0.1352605523,-39.7516619357,0.1049097654,-37.6197716871,0.5590648467,107.6323873302,0.791480841,2.1381215996,0.242315316,-6.5675961218,0.1657575144,2.756967315,2.756967315,16.8222500329,16.8222500329,3.5239513871,0.0842942525
684,77051,77051,335.9,12.5,9.14,438, G2/G3V;UnK,-37.4,-8.6,,,,,98.7,17.5,,,,1.09,,,236.0044349564,0.040492841,-39.0950282316,0.0238773129,335.8621671877,12.4988817954,9.717615,0.6466532,-0.000544548,0.6471977,5816.5,-29.7311536347,0.0944771802,-40.37156444,0.0690547083,,,127.0704378216,0.8672444124,0,0.1889543604,0,0.1381094167,0,0,,0,0,
684,77051,77015,335.9,12.7,9.66,, G3V;UnK,-36.3,-13.4,-1.1,2.7,4.9,2.6,90.6,12.4,-0.7,,,0.92,0.2895,1,235.8743275152,0.0383978939,-38.9608644574,0.0231619769,335.8667654887,12.6667967048,9.534371,0.75929165,0.3152666,0.44402504,5794.3335,-19.017097574,0.0897080491,-33.8841393326,0.0675570646,-29.6669991891,0.3990731234,134.5922569481,0.8823749297,-10.7140560608,0.1841852293,-6.4874251074,0.136611773,0.1679748721,0.1679748721,7.5315841428,7.5315841428,6.3805850706,0.1739510316
686,77432,77432,334.3,9.2,8.96,425, F5V;UnK,-34.9,-11.3,,,,,96.3,12.3,0.2,,,1.17,,,237.1031366556,0.0384195326,-42.6181877605,0.0216721698,334.2756027266,9.2315446033,8.840597,0.611639,0.24739075,0.36424828,6508.6665,-19.7171608685,0.0861951224,-30.1285598423,0.0587833854,4.9862293062,2.5755413146,128.6092264872,0.8042881272,0,0.1723902448,0,0.1175667707,0,0,,0,0,
686,77432,77015,335.9,12.7,9.66,, G3V;UnK,-36.3,-13.4,1.4,2,2.3,1.9,90.6,12.4,-0.7,0.2,1.8,0.92,6.3452,0.16,235.8743275152,0.0383978939,-38.9608644574,0.0231619769,335.8667654887,12.6667967048,9.534371,0.75929165,0.3152666,0.44402504,5794.3335,-19.017097574,0.0897080491,-33.8841393326,0.0675570646,-29.6669991891,0.3990731234,134.5922569481,0.8823749297,-0.7000632945,0.1759031715,3.7555794904,0.12634045,3.7736717738,3.7736717738,10.5289276145,10.5289276145,3.2552086019,0.1792525165
