log_r(pc),V1D(km/s)
-3.769551078621726,0.4881536159278359
-3.6988440079146554,0.4501572264842002
-3.6281369372075845,0.41259667362144725
-3.557429866500514,0.3754405475685172
-3.486722795793443,0.33865743855434927
-3.4160157250863725,0.3022159368078834
-3.3453086543793016,0.26608463255805814
-3.274601583672231,0.2302321160338141
-3.20389451296516,0.19462697746408963
-3.1331874422580896,0.1592378070778253
-3.0624803715510187,0.12403319510395949
-2.991773300843948,0.08898173177143276
-2.9210662301368773,0.05405200677636235
-2.8503591594298068,0.019208132675148315
-2.7796520887227363,-0.015601119223932924
-2.7089450180156653,-0.050430260877344146
-2.6382379473085944,-0.08533380424154524
-2.567530876601524,-0.12036626127299743
-2.4968238058944534,-0.1555821439281624
-2.4261167351873825,-0.19103520848839906
-2.3554096644803115,-0.22665912768537222
-2.284702593773241,-0.26216591578873394
-2.2139955230661705,-0.2974780271848556
-2.1432884523590996,-0.3326386683532173
-2.072581381652029,-0.3676919373245291
-2.0018743109449586,-0.4026819321295011
-1.9311672402378879,-0.43765230822653023
-1.860460169530817,-0.4726291602978415
-1.7897530988237464,-0.5076155629724977
-1.7190460281166755,-0.5426130313095816
-1.648338957409605,-0.5776230803681748
-1.577631886702534,-0.6126455446629547
-1.5069248159954636,-0.6476449606858883
-1.436217745288393,-0.6825638879207966
-1.3655106745813221,-0.7175395920020191
-1.2948036038742516,-0.752841963915553
-1.2240965331671807,-0.7883127238237864
-1.1533894624601102,-0.8234767015062133
-1.0826823917530393,-0.858113839460293
-1.0119753210459688,-0.8926238658412562
-0.9412682503388978,-0.9274959503133782
-0.8705611796318273,-0.9630718323272712
-0.7998541089247564,-0.9984870903052322
-0.7291470382176859,-1.0330877983444509
-0.658439967510615,-1.067577975570711
-0.5877328968035445,-1.1026504526007124
-0.5170258260964735,-1.1381429479074794
-0.446318755389403,-1.1735848779251514
-0.3756116846823325,-1.2088640526732612
-0.3049046139752616,-1.244303661257693
-0.23419754326819106,-1.2794592400929234
-0.16349047256112012,-1.3106908895380989
-0.09278340185404962,-1.3355467429065584
-0.022076331146978684,-1.3534905318012334
0.04863073956009181,-1.3640599615264333
0.11933781026716275,-1.3667918288494394
0.19004488097423325,-1.360691560302834
0.26075195168130416,-1.3433402809253168
0.3314590223883751,-1.3120829723006062
0.40216609309544515,-1.2642993236328395
0.4728731638025161,-1.2023207728702234
0.543580234509587,-1.1385294812178803
0.614287305216658,-1.0865252955372975
0.684994375923728,-1.0578561232531343
0.755701446630799,-1.0498509409247676
0.8264085173378699,-1.053818047043571
0.89711558804494,-1.0610441228522558
0.9678226587520109,-1.0641331626313515
1.0385297294590818,-1.0624197322731275
1.1092368001661528,-1.0573823619049172
1.1799438708732228,-1.0505004938839773
1.2506509415802938,-1.043253547670708
1.3213580122873647,-1.0367682979750896
1.3920650829944357,-1.0309271552839698
1.4627721537015057,-1.025338197178473
1.5334792244085766,-1.0196095012397226
1.6041862951156476,-1.0133491450488432
1.6748933658227185,-1.0061659862398007
1.7456004365297886,-0.9978582899430062
1.8163075072368595,-0.988659376860939
1.8870145779439305,-0.9788634147480864
1.9577216486510005,-0.9687627085804834
2.0284287193580717,-0.9584906315489445
2.0991357900651426,-0.9479024076428193
2.1698428607722136,-0.9368251873134419
2.2405499314792836,-0.9250861210121467
2.3112570021863545,-0.9125173925907528
2.3819640728934255,-0.8991343703506811
2.4526711436004964,-0.8851834026094738
2.5233782143075665,-0.8709255915486793
2.5940852850146374,-0.8566192456883408
2.6647923557217084,-0.8424612970662515
2.7354994264287793,-0.8285888586457497
2.8062064971358494,-0.8151365612747316
2.8769135678429203,-0.802261195991848
2.9476206385499912,-0.7904403831576322
3.0183277092570613,-0.7803933316791128
3.0890347799641322,-0.7728451616409164
3.159741850671203,-0.7685209931276695
3.230448921378274,-0.7681459462239987
