source_id_1,source_id_2,ra_1,dec_1,ra_2,dec_2,ra_err_1,dec_err_1,ra_err_2,dec_err_2,parallax_1,parallax_2,par_over_err_1,par_over_err_2,pmra_1,pmdec_1,pmra_2,pmdec_2,pmra_err_1,pmdec_err_1,pmra_err_2,pmdec_err_2,rad_vel_1,rad_vel_2,rad_vel_err_1,rad_vel_err_2,phot_g_1,phot_g_2,phot_g_over_err_1,phot_g_over_err_2,phot_bp_1,phot_bp_2,phot_bp_over_err_1,phot_bp_over_err_2,phot_rp_1,phot_rp_2,phot_rp_1,phot_rp_2,astro_chi2_al_1,astro_chi2_al_2,astro_chi2_al_1,astro_chi2_al_2,astro_n_goodobs_al_1,astro_n_goodobs_al_2,phot_bp_rp_xs_1,phot_bp_rp_xs_2,rv_nb_tran_1,rv_nb_tran_2,pairdistance,angular_distance
6665580851581325824,6665580855875686400,301.60157350636587,-52.521626507318125,301.59765099729503,-52.5214818583393,0.12488780157523782,0.06625363526975728,0.07657473962545579,0.03663938060158592,10.091804137259013,10.013015434757369,71.43197,118.43492,-0.4667632115327853,14.234674981306416,-0.8394593352519841,16.834612684842583,0.20997735477224436,0.13748657851603066,0.13325749768554057,0.0760900384815351,,,,,15.760698,7.6699924,869.6947,2100.9255,17.059507,7.8613987,25.501638,634.43726,14.434401,7.3869314,93.89644,578.1797,461.45297,610.04193,461.45297,610.04193,173,216,1.6669023,1.1675761,0,0,0.002391080671509683,0.003925175249315722
6665624801979193472,6665624801981014272,299.7860890571175,-53.116857527844196,299.78636034494974,-53.11714172290932,0.06418645917661431,0.052004567274971665,0.07572365758878674,0.06222760599883399,5.4572242244817915,5.598829307046447,56.341705,46.982452,-0.9777190237577962,-47.834508098955425,0.7404338767552581,-48.45668770832853,0.12432036157370151,0.1128594486732914,0.14527532642850538,0.14138787321690136,,,,,14.943133,15.004186,898.04333,1026.1942,15.561685,15.601146,43.7174,26.211473,13.3397,13.490144,46.985767,22.823515,1220.4567,1769.669,1220.4567,1769.669,274,240,2.280252,2.141143,0,0,3.2753312068382537E-4,3.9289174456750984E-4
6665682766859732096,6665682766859732224,299.2639212182248,-52.999991407726704,299.2638429910122,-52.9985942486479,0.28290778342130246,0.2519013833629574,0.058138816374023225,0.045947208648587715,9.002358929888748,9.093384070470558,21.385668,109.25753,21.536536716175462,-60.400388526307395,21.09691208062671,-59.77355231657886,0.5656071304860302,0.5148483478810315,0.10849380933711002,0.09664056786334269,,,,,19.48495,16.221561,347.51743,1522.415,19.811653,17.817951,23.629816,116.01718,18.932495,14.994232,42.759758,702.2043,386.79758,567.3253,386.79758,567.3253,329,330,1.2512633,1.4878511,0,0,0.0013979520490819642,0.001399347343686696
6665683522773979136,6665683552837416192,299.28797274107626,-52.934303637825614,299.30097232710875,-52.933410776085026,0.027746035477499025,0.022344870627502074,0.04203360618339946,0.029331776735460478,10.363783406418795,10.318211923495333,264.8223,167.20082,4.094684138098183,4.937558368252893,4.28519588005532,5.246822036767126,0.05514314923923213,0.04701924263909094,0.08105981493183581,0.05803349594758086,8.247653469644863,9.131967193337136,1.24649640583297,0.39483615931540467,10.384307,10.460667,2367.1807,2378.181,10.806819,10.891093,1469.1165,711.12476,9.82998,9.897376,1711.9213,1104.8019,496.1772,481.7548,496.1772,481.7548,310,249,1.2066528,1.208928,10,14,0.007886034155992764,0.013030212550222707
6665910709364013952,6665910709364014336,302.4183973294507,-52.4224989422718,302.4175332749671,-52.42140393767734,0.10708783472097655,0.08693741311673678,0.051704883077876164,0.04068316850669889,8.682015703297758,8.414539020747759,61.89726,129.38551,10.588900148690811,-73.76133206341011,12.023694042303042,-76.71364465267976,0.20056606002513985,0.16946977373924535,0.09967761474484063,0.0778222828055226,,,,,16.393616,15.773434,735.4067,773.60394,18.044195,15.589278,97.7018,131.20941,15.131631,15.939416,529.6111,217.21112,1314.8951,432.42233,1314.8951,432.42233,263,244,1.5224383,1.2343218,0,0,0.001215194212540863,0.0013948566996361638
6666002071908617984,6666002071908618112,302.59957811818583,-51.810847877358356,302.59222490078037,-51.82016657068929,0.02526137088012663,0.022047019950934655,0.048297631552217155,0.04077380431117831,5.127215044603218,5.03690073227018,153.58755,76.96351,7.124267890875672,-27.649953841396705,7.491210107755775,-27.534210649847715,0.054370981827636125,0.04290286415884568,0.09339749914515207,0.07951659635048892,-18.405679504299094,-18.979909727827057,0.7714449317377807,2.337427370533917,11.001652,13.080894,2588.9556,3606.7883,11.301733,13.769041,948.2044,1001.42584,10.55969,12.290075,1076.7917,1348.7368,548.3543,1968.6694,548.3543,1968.6694,232,255,1.1961688,1.2715713,7,5,0.010368301747363152,0.011870461305611481
6666141671229040512,6666141675525304192,303.7564398720809,-51.09418342092055,303.75623183941974,-51.095932963694196,0.05971335631366751,0.04952288922368389,0.05876442940592465,0.046825167583955496,8.815055573419569,8.694063541494137,109.42425,110.18703,-6.329671107364955,-66.4547277354651,-7.150034993014067,-66.96723533839446,0.11595817972898749,0.1016999128964414,0.11338687783462148,0.09450116308560665,,,,,16.644098,16.4108,1176.1473,1151.2203,18.089264,18.068722,70.01476,67.55395,15.451093,15.158492,314.11383,424.9267,313.53976,365.07175,313.53976,365.07175,228,237,1.4719781,1.5092719,0,0,0.0017544143027238665,0.0017618676184413006
6666179127640352512,6666179333798782976,301.9073145594389,-51.749341927144776,301.8987934682638,-51.75088636819877,0.025462535536839217,0.02129967555338984,0.024764378323051867,0.020910836981953337,18.574586361067123,18.503287243787035,501.7167,535.4012,-17.86200754121767,-26.486217103764076,-16.56653251409934,-30.911444409817555,0.05262916639091203,0.044706210016401834,0.05062639086651338,0.041927689674564124,-27.237656799679726,-27.51711050814938,0.9807756389799765,0.22487649538726584,9.625252,9.519677,4439.47,4940.0674,10.099685,9.977955,1345.646,1295.7295,9.025604,8.934999,1243.9597,1038.8146,398.98297,567.40125,398.98297,567.40125,267,289,1.2137098,1.2106758,6,10,0.005496775260943132,0.008659924536788065
6666476408096685184,6666476408096685568,298.6944385574011,-52.376091335271916,298.6920168354143,-52.37735615720586,0.03752275188304281,0.03200517289385203,0.044206986070673734,0.03774193223374101,5.326690406115694,5.398643694449946,97.115906,84.0566,-31.45680605633732,-10.687181773772693,-31.564219396928245,-11.244222757530963,0.08063122647633171,0.05502852364181483,0.09464330724004948,0.06525311920041607,,,,,15.16611,15.546799,2033.7605,1519.3116,16.266825,16.730955,254.18141,150.19252,14.125665,14.464493,505.87775,571.9225,165.97412,190.80312,165.97412,190.80312,143,142,1.3767327,1.4007144,0,0,0.0019456067968498332,0.0027321258949828467
6666516505911492224,6666516540271227904,299.5319125125381,-51.90594640736311,299.5640515391574,-51.89556214866743,0.036845574128333704,0.029317143450253144,0.03408678213346527,0.030263098531865963,10.570630179589587,10.46204596498032,217.87366,223.04025,45.758051437662374,-43.41627123940981,46.452024556083394,-43.87894375358772,0.06980433282235583,0.054265235817885796,0.06416533338676211,0.055130522539280864,,,,,8.088731,7.5547457,2508.8623,1952.5785,8.362672,7.7340193,588.95325,539.101,7.696683,7.307123,879.05334,519.2002,580.3589,496.20486,580.3589,496.20486,232,208,1.1809632,1.1567277,0,0,0.022384938932741495,0.03377498868533171
