# Table derived from the table bestCanditates.csv. The meaning of the columns is the same
# Table created on Oct 18 15:51:30 2018
# 
# 
#  From table bestCandidates.csv all multiple entries were removed. That is, only stars appearing once were retained. This reduced from 12296 to 8628 pairs 
#  Cut in parallax accuracy: Max error on distance < 1.5 pc.    After filtering on distance 7173 pairs remained
#  NO cut for RADIAL VELOCITY.
# 
# 
# 
# Columns are:
#
#  1)  id_1         GAIA ID for primary
#  2)  id_2         GAIA ID for secondary
#  3)  ra_1         RA of primary star in degrees
#  4)  ra_err_1     error on right ascension in milliarcsec (mas)
#  5)  dec_1        DEC in degrees
#  6)  dec_err_1    error on DEC in mas
#  7)  ra_2         RA of secondary
#  8)  ra_err_2     error on RA of secundary in mas
#  9)  dec_2        DEC of secondary
# 10)  dec_err_2    error on DEC of secundary in mas
# 11)  d1           distance of primary in pc
# 12)  d1_err       error on distance in pc
# 13)  d2           distance of secondary in pc
# 14)  d2_err       error on distance in pc
# 15)  app_separ    Projected separation in arcsec, this was required to be smaller than 2 pc.
# 16)  radial_separ Separation along the radial direction (basically the difference of parallaxes) in pc. This was required to be smaller than 2pc.
# 17)  v1_ra        velocity from proper motion of primary in right ascension in km/s
# 18)  v1_ra_err    error on velocity along RA,  km/s 
# 19)  v1_dec       velocity from proper motion of primary along the declination, in km/s
# 20)  v1_dec_err   error on velocity of primary along declination, in km/s
# 21)  v2_ra        velocity from proper motion for secondary in km/s
# 22)  v2_ra_err    error on velocity along RA,  km/s
# 23)  v2_dec       dec velocity of secundary in km/s
# 24)  v2_dec_err   error on velocity along DEC,  km/s
# 25)  rv1         radial velocity of primary in km/s
# 26)  rv1_err     error on radial velocity in km/s
# 27)  rv2         radial velocity for secondary
# 28)  rv2_err     error on radial velocity
# 29)  m1           apparent magnitude of primary
# 30)  m2           app mag of secondary
# 31)  N2           number of stars (including the companion) in a cube of 2pc on a side centered on the primary
# 32)  N4           number of stars (including the companion) in a cube of 4pc on a side centered on the primary
# 
#
#                v_1                   v_2         v_3         v_4         v_5         v_6         v_7         v_8         v_9        v_10        v_11        v_12        v_13        v_14        v_15        v_16        v_17        v_18        v_19        v_20        v_21        v_22        v_23        v_24        v_25        v_26        v_27        v_28   v_29   v_30    v_31     v_32
#id_1,id_2,ra_1,ra_err_1,dec_1,dec_err_1,ra_2,ra_err_2,dec_2,dec_err_2,d1,d1_err,d2,d2_err,app_separ,radial_separ,v1_ra,v1_ra_err,v1_dec,v1_dec_err,v2_ra,v2_ra_err,v2_dec,v2_dec_err,rv1,rv1_err,rv2,rv2_err,m1,m2,N2,N4
  384795053581082880,   384626076684153344,   0.962158,   0.042444,  42.879123,   0.026297,   1.476879,   0.026061,  43.121531,   0.020165,   156.6950,     1.4392,   158.1080,     0.9019,  1614.1077,    -1.4130,   36.46890,    0.34000,   -8.43900,    0.08320,   33.35160,    0.19290,   -9.87150,    0.06090,          *,          *,    8.52000,    0.53600, 11.42, 11.18  ,     3  ,    10 
 2874196929143032448,  2874196929143032192,   1.013188,   0.025472,  32.810055,   0.012525,   1.015229,   0.024507,  32.811246,   0.012212,   119.3710,     0.5786,   120.6840,     0.5875,     7.5180,    -1.3130,    9.95990,    0.05300,   25.60910,    0.12460,   10.45040,    0.05500,   26.23830,    0.12820,    3.29900,    1.80700,    0.43800,    1.29400, 13.38, 13.31  ,     2  ,     4 
 2745524519318287616,  2745524515024126208,   1.230677,   0.034141,   6.140922,   0.026705,   1.230874,   0.035577,   6.141528,   0.020790,   164.2470,     1.0899,   162.7280,     1.0464,     2.2927,     1.5190,    4.02740,    0.07690,   34.95070,    0.23560,    3.59760,    0.09150,   34.75720,    0.22550,   33.63700,    0.79700,          *,          *, 11.56, 13.02  ,     1  ,     4 
  386648181647057152,   386648181647056768,   1.239793,   0.042807,  45.673511,   0.025445,   1.239186,   0.043633,  45.674514,   0.023383,    73.2270,     0.2627,    73.5200,     0.2471,     3.9204,    -0.2930,    6.37030,    0.03070,  -22.65120,    0.08240,    6.42340,    0.03150,  -23.68840,    0.08060,  -17.15100,    0.15700,          *,          *,  7.42,  9.50  ,     3  ,    10 
 2773086595766697984,  2773086595766697856,   1.481176,   0.040950,  18.074577,   0.043273,   1.480470,   0.045923,  18.075245,   0.049595,    37.6760,     0.0736,    37.6830,     0.0848,     3.4090,    -0.0070,  -27.52660,    0.05620,  -26.84270,    0.05400,  -26.32050,    0.06160,  -25.99660,    0.06020,  -45.68700,    0.28300,  -45.00100,    0.74000,  9.18,  8.94  ,     3  ,     7 
 2738818666619512064,  2738818666619511808,   1.616191,   0.041141,   1.921117,   0.035536,   1.617051,   0.046746,   1.922935,   0.043271,   114.2390,     0.6966,   115.9830,     0.8332,     7.2394,    -1.7440,   16.34430,    0.11250,  -31.84150,    0.19690,   15.04580,    0.12550,  -33.08560,    0.24050,   -1.29800,    0.49100,   -1.39100,    0.26800, 10.43, 10.11  ,     4  ,    10 
 2847326479867307008,  2847326475571686912,   1.646300,   0.026468,  22.806237,   0.027147,   1.651328,   0.041818,  22.805927,   0.043621,   123.3850,     0.5129,   123.9750,     0.8225,    16.7230,    -0.5900,    4.93700,    0.03550,   -9.03290,    0.04600,    4.85450,    0.05530,   -9.60050,    0.07620,          *,          *,          *,          *, 13.43, 12.07  ,     3  ,     8 
  429299749526962048,   429299745223235840,   1.706494,   0.019920,  60.489557,   0.020164,   1.714290,   0.020473,  60.492559,   0.021996,   204.2870,     1.1769,   204.8550,     1.2448,    17.5476,    -0.5680,   -9.58870,    0.06820,  -11.70240,    0.07570,   -9.40590,    0.07340,  -11.89540,    0.08280,    3.97000,    1.13500,    2.78500,    1.26200, 12.07, 12.32  ,     3  ,    15 
  393741440398203264,   393741440398203008,   1.924225,   0.019686,  49.836597,   0.017823,   1.925309,   0.014993,  49.838226,   0.013415,   138.6260,     0.5478,   139.7610,     0.4220,     6.3817,    -1.1350,   26.23670,    0.10620,    8.16180,    0.03710,   26.50610,    0.08200,    7.86000,    0.02740,   29.04300,    1.12600,          *,          *, 12.97, 13.31  ,     4  ,    17 
  420064298526480768,   420064298526480512,   2.019281,   0.056606,  53.796308,   0.093938,   2.020073,   0.029418,  53.795992,   0.032974,    96.8770,     1.1073,    98.6080,     0.4311,     2.0323,    -1.7310,   31.99270,    0.37030,  -28.79310,    0.33790,   33.84600,    0.15070,  -27.91060,    0.12490,          *,          *,  -41.68900,    0.17200, 11.96,  8.01  ,     2  ,    21 
  531203449254920960,   531203444958098048,   2.088603,   0.022003,  71.016263,   0.019793,   2.090560,   0.017119,  71.017154,   0.014723,   200.4550,     1.0450,   202.2540,     0.7996,     3.9422,    -1.7990,   -9.98770,    0.06330,    5.05770,    0.04470,  -10.92490,    0.05120,    5.17220,    0.03470,   14.47200,    8.35700,          *,          *, 11.81, 13.81  ,     1  ,     8 
  386853098830891392,   386853064471152896,   2.216122,   0.034464,  45.886120,   0.024191,   2.205738,   0.034552,  45.887249,   0.024906,   121.2160,     0.7168,   121.3190,     0.7027,    26.3370,    -0.1030,   15.94170,    0.10010,  -12.32470,    0.07590,   16.48530,    0.10160,  -11.82440,    0.07180,    1.24600,    0.48400,   16.95700,    7.69200, 11.62, 11.06  ,     3  ,    12 
 2861972661943993472,  2861970909597341184,   2.412946,   0.020042,  31.947085,   0.013745,   2.509571,   0.020015,  31.926205,   0.015121,   230.5250,     1.3128,   231.7170,     1.2503,   304.5852,    -1.1920,  -29.01520,    0.16940,  -43.55530,    0.24910,  -30.80850,    0.17040,  -44.38490,    0.24090,          *,          *,          *,          *, 13.51, 13.07  ,     2  ,     9 
 2877757697549768064,  2877757697549767808,   2.418950,   0.026406,  38.037099,   0.016249,   2.418156,   0.030506,  38.037635,   0.021190,   103.8370,     0.4013,   104.6500,     0.5255,     2.9651,    -0.8130,  -20.16530,    0.08200,   -6.86780,    0.02940,  -19.88210,    0.10420,   -7.09380,    0.03890,   -7.56500,    0.26800,          *,          *, 10.43, 12.41  ,     4  ,    11 
  537921362220502016,   537921357924164864,   2.479616,   0.024413,  73.483305,   0.023059,   2.483314,   0.023232,  73.484738,   0.022585,   191.1820,     0.8935,   193.1200,     0.8921,     6.3983,    -1.9380,   11.56520,    0.06860,   14.04980,    0.07440,   11.81650,    0.06780,   14.28640,    0.07520,   -5.26500,    0.25100,          *,          *, 10.14, 10.37  ,     1  ,    10 
  384509940768823552,   384509940767226112,   2.513177,   0.036367,  42.253999,   0.024635,   2.513893,   0.023260,  42.254243,   0.019808,   177.7240,     1.4721,   176.2020,     1.1144,     2.1004,     1.5220,  -25.23150,    0.21620,  -21.22920,    0.17870,  -24.31720,    0.15770,  -21.32570,    0.13740,   -5.84600,    0.58700,   -1.89900,    0.83900, 11.38, 13.08  ,     1  ,     5 
  429748693868499712,   429748693868499072,   3.205967,   0.021968,  61.809232,   0.021577,   3.208944,   0.023269,  61.810537,   0.021569,    72.0080,     0.1332,    71.6390,     0.1372,     6.9069,     0.3690,  -21.91560,    0.04320,   61.12050,    0.11390,  -21.99870,    0.04470,   60.92510,    0.11740,  -13.48100,    0.21000,   -9.94500,    0.94900, 10.79, 11.86  ,     2  ,    13 
  538088762865390976,   538088556706961024,   3.607311,   0.019370,  74.605324,   0.017412,   3.626944,   0.020536,  74.606651,   0.019495,   195.0960,     0.8421,   195.4680,     0.8867,    19.3619,    -0.3720,   34.47690,    0.15250,   10.05330,    0.05330,   34.60150,    0.16080,   10.14020,    0.05810,   -3.47600,    0.54800,   -5.09300,    0.47700, 11.67, 11.28  ,     2  ,     7 
  528849910255733632,   528737897508147200,   3.682273,   0.023467,  68.079681,   0.022888,   3.130704,   0.019783,  67.518819,   0.020009,   160.9550,     0.7484,   161.5930,     0.6133,  2150.8800,    -0.6380,   24.22860,    0.11760,    4.42020,    0.03700,   24.41390,    0.09800,   -0.41230,    0.03130,          *,          *,   -5.20900,    0.72400,  9.66, 11.13  ,     3  ,     9 
 2863644641172864384,  2863644641172864256,   4.324377,   0.025094,  33.543759,   0.029424,   4.323287,   0.025893,  33.543768,   0.032769,   182.6430,     1.1443,   182.5880,     1.1989,     3.2707,     0.0550,   -8.45170,    0.06560,   11.46870,    0.08120,   -7.94160,    0.06650,   11.80150,    0.08990,          *,          *,    5.55300,    0.81500, 11.59, 11.63  ,     2  ,     6 
  567386143539097728,   567340101489715328,   4.597382,   0.027782,  83.233534,   0.031902,   6.697901,   0.024929,  83.144518,   0.021083,   225.2860,     1.4519,   226.7240,     1.2204,   946.8931,    -1.4380,  -17.20080,    0.12820,   -4.06100,    0.06360,  -17.91550,    0.10930,   -3.24270,    0.04530,  -11.84500,    0.45400,    2.98600,    7.74300, 10.84, 11.37  ,     1  ,     9 
 2856569210833352448,  2855734440989223936,   4.865031,   0.033773,  26.922432,   0.039017,   5.652969,   0.031353,  26.451680,   0.035228,   124.3830,     0.6726,   124.9100,     0.6011,  3044.4451,    -0.5270,   -4.23390,    0.04440,    3.39960,    0.04080,   -2.23060,    0.03870,   -1.36260,    0.03370,  -17.16200,    0.90500,   14.26700,    0.48900, 12.07, 11.74  ,     1  ,     4 
  431972524851549952,   431972490491814400,   4.916611,   0.017572,  64.956504,   0.015805,   4.913112,   0.020290,  64.949808,   0.018968,   215.6350,     0.9970,   216.7370,     1.1523,    24.6883,    -1.1020,   75.40880,    0.35050,   18.68390,    0.09160,   75.87280,    0.40550,   19.77320,    0.11140,  -12.27800,    1.92100,  -14.47400,    1.93100, 13.18, 12.44  ,     3  ,    17 
  528767648749309952,   528767648745379200,   5.239533,   0.029688,  67.667811,   0.037997,   5.238298,   0.037030,  67.667793,   0.043073,    31.4660,     0.0411,    31.4790,     0.0539,     1.6906,    -0.0130,    3.41470,    0.00930,   11.06190,    0.01790,    3.83930,    0.01170,   11.08860,    0.02090,          *,          *,          *,          *,  8.58,  8.26  ,     2  ,     7 
 2800694542465738496,  2800321017749989632,   5.469998,   0.035835,  22.274206,   0.046446,   5.159248,   0.039290,  22.170177,   0.048951,   103.9430,     0.4851,   104.8150,     0.4997,  1100.8825,    -0.8720,   31.20480,    0.14950,   15.50470,    0.08130,   31.31010,    0.15390,   15.28160,    0.08250,   12.52400,    0.33700,   12.56800,    0.38400, 11.99, 10.56  ,     2  ,     7 
 2755680433345356288,  2755680429050282240,   5.911797,   0.043563,  12.475339,   0.030525,   5.910823,   0.047301,  12.475009,   0.037140,   147.8700,     1.2111,   146.7770,     1.3226,     3.6239,     1.0930,   20.73010,    0.18470,  -57.77990,    0.47490,   20.84670,    0.20380,  -56.64560,    0.51220,  -65.36200,    0.70400,  -62.28600,    0.63400, 10.36, 11.54  ,     3  ,    10 
 2750946108074787840,  2750946103784588288,   5.942925,   0.042608,   9.618144,   0.028794,   5.941969,   0.054430,   9.618759,   0.035749,   103.0610,     0.5464,   101.2660,     0.6948,     4.0516,     1.7950,   43.79080,    0.23670,  -84.18470,    0.44740,   43.10600,    0.29920,  -82.13750,    0.56450,    7.34700,    0.24100,          *,          *,  8.74, 12.71  ,     1  ,     5 
 2794406332387210240,  2794406328091710208,   5.951143,   0.034856,  18.945611,   0.030338,   5.951749,   0.035902,  18.946901,   0.031525,   151.0890,     1.0171,   151.9060,     1.0680,     5.0818,    -0.8170,   34.41840,    0.23730,   22.95520,    0.15890,   34.79440,    0.25020,   23.71200,    0.17110,   35.50600,    0.74500,   34.38600,    0.84400, 12.14, 12.13  ,     2  ,     3 
